City,Room Type,average_price
Amsterdam,Entire home/apt,434.7950106774004
Amsterdam,Private room,341.0824395031762
Amsterdam,Shared room,405.4866855701107
Athens,Entire home/apt,148.5711084560175
Athens,Private room,100.86759582561963
Athens,Shared room,78.61049034624833
Barcelona,Entire home/apt,423.0818313352076
Barcelona,Private room,204.05878690503116
Barcelona,Shared room,129.47145483743338
Berlin,Entire home/apt,299.6121123552709
Berlin,Private room,178.01566087270268
Berlin,Shared room,153.84240197373498
Budapest,Entire home/apt,175.2662737201349
Budapest,Private room,106.97468269138486
Budapest,Shared room,155.54354467265122
Lisbon,Entire home/apt,274.6003769765574
Lisbon,Private room,147.4178535935207
Lisbon,Shared room,100.93138568748324
Paris,Entire home/apt,318.91489710452817
Paris,Private room,256.26007666317474
Paris,Shared room,133.0800719502305
Rome,Entire home/apt,213.68232813767563
Rome,Private room,139.77403669191773
Rome,Shared room,96.7315830079723
Vienna,Entire home/apt,244.2601406648191
Vienna,Private room,154.2855129712567
Vienna,Shared room,133.29281879874404
