City,Guest Satisfaction,average_distance_center
Amsterdam,47.0,3.809662558015444
Amsterdam,60.0,1.4217441919086105
Amsterdam,70.0,2.432700306305895
Amsterdam,74.0,1.3403735525137348
Amsterdam,75.0,0.8294133592015844
Amsterdam,77.0,4.416816886287283
Amsterdam,78.0,1.3093369748825867
Amsterdam,80.0,2.4234292582551054
Amsterdam,81.0,6.502260068918842
Amsterdam,82.0,2.0773497514307855
Amsterdam,83.0,2.7774429668829486
Amsterdam,84.0,2.468279135220776
Amsterdam,85.0,2.8178889326113787
Amsterdam,86.0,3.8724261546181666
Amsterdam,87.0,2.3598007079158996
Amsterdam,88.0,1.83358499024384
Amsterdam,89.0,3.2945510880422795
Amsterdam,90.0,2.1802597959287064
Amsterdam,91.0,1.7075060452005866
Amsterdam,92.0,2.6861736689022497
Amsterdam,93.0,2.538163257648418
Amsterdam,94.0,2.568999003238546
Amsterdam,95.0,2.662790932506377
Amsterdam,96.0,2.825281004688987
Amsterdam,97.0,2.5365729934213657
Amsterdam,98.0,2.5652712943876868
Amsterdam,99.0,2.954773841804418
Amsterdam,100.0,2.669881096778288
Athens,20.0,2.2828171184008625
Athens,40.0,1.988653948809623
Athens,47.0,1.3349377198657486
Athens,50.0,3.1477460717640318
Athens,53.0,1.1458985803745818
Athens,56.0,1.9921748305362512
Athens,57.0,5.270881074990727
Athens,60.0,2.016985013619447
Athens,67.0,2.0863297220629504
Athens,68.0,1.6530141983602464
Athens,70.0,1.9686275910328308
Athens,72.0,1.7085475802862522
Athens,73.0,1.8139619843768708
Athens,75.0,1.3414027661462349
Athens,76.0,1.3319168156898775
Athens,77.0,1.7422938848226746
Athens,78.0,1.6472307142813518
Athens,79.0,1.4303849251779068
Athens,80.0,1.8324932363452064
Athens,81.0,1.4059932616680273
Athens,82.0,1.7123276139780774
Athens,83.0,1.7432591245653546
Athens,84.0,1.3733650209299155
Athens,85.0,2.0241656124918226
Athens,86.0,1.6761973209092251
Athens,87.0,1.943661133105916
Athens,88.0,1.8521047217031594
Athens,89.0,1.8679354843379237
Athens,90.0,1.687095041199106
Athens,91.0,1.6183672938666185
Athens,92.0,1.595700734643928
Athens,93.0,1.8045808307870006
Athens,94.0,1.7543095316326323
Athens,95.0,1.7638336929344876
Athens,96.0,1.650761965509764
Athens,97.0,1.768705880707174
Athens,98.0,1.6834513725849534
Athens,99.0,1.8795992777938209
Athens,100.0,1.8925528994432712
Barcelona,20.0,1.6642803432028213
Barcelona,40.0,4.263843658466168
Barcelona,53.0,1.086061486816056
Barcelona,60.0,1.6131498172535301
Barcelona,63.0,3.2108565422667064
Barcelona,65.0,3.910589542030036
Barcelona,66.0,3.941694805138164
Barcelona,67.0,1.6039850994684393
Barcelona,68.0,1.7101524103150492
Barcelona,70.0,1.2322048261939944
Barcelona,71.0,2.0496952375651007
Barcelona,72.0,2.0781987078079904
Barcelona,73.0,2.244422674888442
Barcelona,74.0,2.62387302248291
Barcelona,75.0,1.2054160699939644
Barcelona,76.0,2.567335172529744
Barcelona,77.0,1.788975791691237
Barcelona,78.0,2.349914061227494
Barcelona,79.0,2.166762828260276
Barcelona,80.0,2.085230254675233
Barcelona,81.0,2.3146322287416856
Barcelona,82.0,1.436140078232756
Barcelona,83.0,2.624090927720255
Barcelona,84.0,2.1131116279540216
Barcelona,85.0,2.139556648300883
Barcelona,86.0,1.9331392177290636
Barcelona,87.0,2.0970732843471716
Barcelona,88.0,2.1752833101111317
Barcelona,89.0,2.150479732604164
Barcelona,90.0,2.2803400718291575
Barcelona,91.0,2.2853178198912074
Barcelona,92.0,2.172489220206632
Barcelona,93.0,2.252554629728657
Barcelona,94.0,2.2378320504335845
Barcelona,95.0,2.2230112526069647
Barcelona,96.0,2.3590083472664176
Barcelona,97.0,2.41106432789923
Barcelona,98.0,2.230787137054681
Barcelona,99.0,1.6221342610654528
Barcelona,100.0,2.36632829061298
Berlin,40.0,3.7882403534894213
Berlin,60.0,3.875948949581445
Berlin,67.0,3.4152120736245024
Berlin,69.0,3.727377162436742
Berlin,70.0,5.2238255313732465
Berlin,71.0,3.9263783197260747
Berlin,73.0,3.489467033288236
Berlin,75.0,5.204343205645668
Berlin,76.0,4.865066762541339
Berlin,78.0,5.649863231212551
Berlin,79.0,2.3527751640191488
Berlin,80.0,4.241890891554859
Berlin,81.0,2.5744136874761967
Berlin,82.0,3.9874908915714578
Berlin,83.0,4.735152130947462
Berlin,84.0,3.6956802093280627
Berlin,85.0,3.4197810613622606
Berlin,86.0,3.2625846787955664
Berlin,87.0,4.248228650008244
Berlin,88.0,4.120039074314368
Berlin,89.0,3.743980630234266
Berlin,90.0,3.6771534251466877
Berlin,91.0,3.7509913816697193
Berlin,92.0,3.4519742091711025
Berlin,93.0,3.837910596772085
Berlin,94.0,4.393582922469451
Berlin,95.0,4.119396538420672
Berlin,96.0,4.094559003983994
Berlin,97.0,4.096253560485723
Berlin,98.0,3.8386107950132113
Berlin,99.0,4.268279843787283
Berlin,100.0,4.2230284731869
Budapest,20.0,2.4537076395270034
Budapest,40.0,1.6563894792761849
Budapest,50.0,2.3337244991740973
Budapest,60.0,1.9118770813326014
Budapest,65.0,0.3342972326952524
Budapest,67.0,1.8736075303214241
Budapest,69.0,0.5116211562587802
Budapest,70.0,1.274568930614857
Budapest,71.0,0.3894578662214645
Budapest,72.0,1.297569374450269
Budapest,73.0,4.8331913088859935
Budapest,75.0,3.027447099262878
Budapest,76.0,1.8282480994842385
Budapest,77.0,1.86081388015279
Budapest,78.0,1.102817900447795
Budapest,79.0,1.7594268276270895
Budapest,80.0,1.5366313372979357
Budapest,81.0,1.6768892384915983
Budapest,82.0,1.3725167822533837
Budapest,83.0,1.567389018748134
Budapest,84.0,1.4925697263968654
Budapest,85.0,1.5010565512888003
Budapest,86.0,1.3074979555962682
Budapest,87.0,1.3155777297017532
Budapest,88.0,1.4765125181160819
Budapest,89.0,1.5016929436157365
Budapest,90.0,1.6383719455909609
Budapest,91.0,1.420030365944778
Budapest,92.0,1.522883274004292
Budapest,93.0,1.5876355107470375
Budapest,94.0,1.5286990086758148
Budapest,95.0,1.5287379833266406
Budapest,96.0,1.4593247622783485
Budapest,97.0,1.4260030804204806
Budapest,98.0,1.5530230331400425
Budapest,99.0,1.47128317845943
Budapest,100.0,1.6927803826307195
Lisbon,20.0,2.2480869043065335
Lisbon,30.0,1.4333827256452774
Lisbon,40.0,1.9389960767092616
Lisbon,44.0,2.0069872182555724
Lisbon,47.0,1.6871073104430958
Lisbon,50.0,1.3879801476628921
Lisbon,53.0,0.9215355805098353
Lisbon,60.0,1.9381936899666241
Lisbon,62.0,0.4698043754605292
Lisbon,63.0,2.2816472398209
Lisbon,64.0,3.7818647701564365
Lisbon,66.0,0.9391986463252506
Lisbon,67.0,1.1164921541579391
Lisbon,68.0,0.4993363287948474
Lisbon,69.0,1.2487032922685157
Lisbon,70.0,2.328402759640525
Lisbon,71.0,1.8862735903126504
Lisbon,72.0,0.8172588737883463
Lisbon,73.0,1.4034956162525822
Lisbon,74.0,1.3502903822088395
Lisbon,75.0,2.609609535455477
Lisbon,76.0,1.4966599117871984
Lisbon,77.0,1.3750783537303586
Lisbon,78.0,1.5789672224746527
Lisbon,79.0,1.4074755617229135
Lisbon,80.0,1.9708510147974632
Lisbon,81.0,1.4044721004777487
Lisbon,82.0,1.5841048342422046
Lisbon,83.0,1.4988625260464585
Lisbon,84.0,1.7006545926050505
Lisbon,85.0,1.471035293702489
Lisbon,86.0,1.4741560837920515
Lisbon,87.0,1.554394347111038
Lisbon,88.0,1.8678383243634686
Lisbon,89.0,1.4892024459095425
Lisbon,90.0,1.6416579782860885
Lisbon,91.0,1.5734620510087374
Lisbon,92.0,1.5525470957629195
Lisbon,93.0,1.401801249391444
Lisbon,94.0,1.566297894689478
Lisbon,95.0,1.557173074004144
Lisbon,96.0,1.6856793390448008
Lisbon,97.0,1.7446237967557197
Lisbon,98.0,1.656149270993216
Lisbon,99.0,1.7247954447579292
Lisbon,100.0,2.057515818876664
Paris,20.0,3.558572294928291
Paris,40.0,2.7485633268618983
Paris,50.0,3.9431770318562385
Paris,53.0,2.452122680390947
Paris,56.0,4.701436106390588
Paris,60.0,3.209805233740085
Paris,64.0,1.3171260579200543
Paris,65.0,2.017818516722949
Paris,67.0,3.3272853212455145
Paris,68.0,2.818308112480741
Paris,69.0,3.3576205547464064
Paris,70.0,3.029920251095912
Paris,71.0,2.405412065933715
Paris,72.0,4.019201557758539
Paris,73.0,2.6302793180244417
Paris,74.0,2.3120466313327395
Paris,75.0,3.7630186471693574
Paris,76.0,3.701996955610326
Paris,77.0,2.5861687776582913
Paris,78.0,3.1891150308819447
Paris,79.0,2.6781884280698787
Paris,80.0,3.1715127015184965
Paris,81.0,1.9814921831851806
Paris,82.0,2.8355628221559677
Paris,83.0,3.0758316077463457
Paris,84.0,3.285249584859967
Paris,85.0,3.074771975835719
Paris,86.0,3.409289501364294
Paris,87.0,3.194772883918479
Paris,88.0,2.79812360376951
Paris,89.0,3.260007703738473
Paris,90.0,3.4296627894947394
Paris,91.0,2.985557559488618
Paris,92.0,3.250046299845756
Paris,93.0,3.3005721040002256
Paris,94.0,3.210838761480618
Paris,95.0,3.2223019315459274
Paris,96.0,3.227206063204686
Paris,97.0,3.1602466770397464
Paris,98.0,3.232832210721464
Paris,99.0,3.220951724439903
Paris,100.0,3.313518421617946
Rome,20.0,2.2977258875677777
Rome,40.0,1.7350362564428932
Rome,50.0,1.4335062831405294
Rome,60.0,2.658273003027199
Rome,65.0,3.391033185669738
Rome,67.0,0.7304423532638642
Rome,70.0,2.6165505751583655
Rome,71.0,2.148948674926432
Rome,72.0,2.585898895632413
Rome,73.0,2.875506222103405
Rome,74.0,1.937234661023233
Rome,75.0,3.0116453229708737
Rome,76.0,2.75403296280728
Rome,77.0,1.9780967523924853
Rome,78.0,2.1039643052922994
Rome,79.0,2.533583166540499
Rome,80.0,3.041203900085406
Rome,81.0,2.957750559460356
Rome,82.0,1.8943963981743024
Rome,83.0,2.4139867785583218
Rome,84.0,1.8955301851529036
Rome,85.0,2.517400244581439
Rome,86.0,2.989130338375011
Rome,87.0,2.63034473096015
Rome,88.0,2.3930499915850216
Rome,89.0,2.3297449484013475
Rome,90.0,2.7854487330521707
Rome,91.0,2.8842234777112736
Rome,92.0,2.7446749086618607
Rome,93.0,2.7764803215893226
Rome,94.0,2.780542010978281
Rome,95.0,2.9885106032046407
Rome,96.0,3.0888826357760264
Rome,97.0,3.079449663328239
Rome,98.0,3.0814547225935454
Rome,99.0,3.2772511007252345
Rome,100.0,3.0897376556334666
Vienna,20.0,4.104394322075408
Vienna,40.0,4.768662360393861
Vienna,47.0,2.2069030082535006
Vienna,50.0,2.370856824370137
Vienna,60.0,3.4202356234965694
Vienna,63.0,2.2188069022521106
Vienna,65.0,1.2794294418959329
Vienna,67.0,3.7950304642956256
Vienna,68.0,4.514127990235552
Vienna,69.0,2.2633453273102124
Vienna,70.0,3.201663355529998
Vienna,71.0,3.0395642243790952
Vienna,72.0,3.526057594676303
Vienna,73.0,3.269606383208361
Vienna,74.0,6.1027268347753445
Vienna,75.0,2.8325518330394988
Vienna,76.0,2.760071632306713
Vienna,77.0,2.992506198140919
Vienna,78.0,4.553751219798838
Vienna,79.0,1.9734421542848126
Vienna,80.0,3.0848461217532854
Vienna,81.0,3.375557993097804
Vienna,82.0,1.9772249483376096
Vienna,83.0,2.9156648774179796
Vienna,84.0,3.1628675342331474
Vienna,85.0,3.1683518372939994
Vienna,86.0,2.7820763329080527
Vienna,87.0,3.0068218862265486
Vienna,88.0,2.591913646871552
Vienna,89.0,2.527953743838221
Vienna,90.0,2.816736621312273
Vienna,91.0,2.8473793182233473
Vienna,92.0,2.9070919291888173
Vienna,93.0,2.6648423312658673
Vienna,94.0,2.976767657987429
Vienna,95.0,2.599219902522192
Vienna,96.0,2.7682176185620935
Vienna,97.0,2.9248076544438644
Vienna,98.0,3.0173815033114133
Vienna,99.0,2.6954614002135977
Vienna,100.0,2.981229578447675
